name,country,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
SR Tendulkar,(INDIA),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,4823,5834,7728,8571,9899,10803,11544,12685,13497,13909,14537,15962,16422,17394,17598,18111,18426,18426,18426,18426,18426,18426,18426,18426
KC Sangakkara,(Asia/ICC/SL),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9731,10915,12116,13372,14234,14234,14234,14234,14234
RT Ponting,(AUS),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7422,8613,9411,10835,11113,12311,13082,13686,13704,13704,13704,13704,13704,13704,13704,13704
ST Jayasuriya,(SL),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7235,8312,9172,9896,10219,11372,12207,12785,13428,13428,13430,13430,13430,13430,13430,13430,13430,13430,13430
DPMD Jayawardene,(Asia/SL),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9027,10059,10844,11401,12247,12650,12650,12650,12650,12650
Inzamam-ul-Haq,(PAK),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6475,7549,8195,8938,9356,10267,11141,11591,11739,11739,11739,11739,11739,11739,11739,11739,11739,11739,11739,11739,11739
V Kohli,(INDIA),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,10232,11609
JH Kallis,(Afr/ICC/SA),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7954,8327,9314,9871,10409,11002,11372,11498,11574,11579,11579,11579,11579,11579,11579
SC Ganguly,(INDIA),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7097,8215,8967,9914,10123,10123,11363,11363,11363,11363,11363,11363,11363,11363,11363,11363,11363,11363,11363
R Dravid,(INDIA),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7751,8843,9762,10585,10585,10765,10765,10889,10889,10889,10889,10889,10889,10889,10889,10889
MS Dhoni,(Asia/INDIA),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9898,10173,10773
CH Gayle,(ICC/WI),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9727,10480
BC Lara,(WI),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5149,-,6166,6525,7257,7549,8437,8921,9359,10019,10405,10405,10405,10405,10405,10405,10405,10405,10405,10405,10405,10405,10405
TM Dilshan,(SL),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,9004,10211,10290,10290,10290,10290
Mohammad Yousuf,(Asia/PAK),-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,8650,9242,9543,9720,9720,9720,9720,9720,9720,9720,9720,9720,9720
